SESSION,TYPE,PAIR,TP,MON,TUE,WED,THU,FRI
TOKYO,FOREX,AUDJPY,TP3,N,N,N,Y,N
TOKYO,FOREX,AUDNZD,TP1,N,N,N,N,Y
TOKYO,CRYPTO,BTCUSD,TP3,N,Y,N,N,N
TOKYO,CRYPTO,BTCUSD,TP4,N,N,N,Y,N
TOKYO,CRYPTO,BTCUSD,TP5,Y,N,Y,N,Y
TOKYO,FOREX,CADCHF,TP3,N,N,N,Y,N
TOKYO,FOREX,CADCHF,TP4,N,N,N,N,Y
TOKYO,FOREX,CADJPY,TP2,N,Y,N,N,N
TOKYO,FOREX,CADJPY,TP4,N,N,Y,N,N
TOKYO,FOREX,CADJPY,TP5,Y,N,N,N,Y
TOKYO,FOREX,CHFJPY,TP1,N,Y,N,N,N
TOKYO,FOREX,CHFJPY,TP4,Y,N,N,N,N
TOKYO,FOREX,CHFJPY,TP5,N,N,Y,N,N
TOKYO,FOREX,DAX40,TP2,N,Y,N,N,N
TOKYO,FOREX,DAX40,TP4,N,N,N,N,Y
TOKYO,CRYPTO,ETHUSD,TP2,N,N,N,N,Y
TOKYO,CRYPTO,ETHUSD,TP5,Y,N,N,Y,N
TOKYO,FOREX,EURAUD,TP1,N,N,Y,N,N
TOKYO,FOREX,EURAUD,TP5,N,Y,N,N,N
TOKYO,FOREX,EURCAD,TP3,N,N,Y,N,N
TOKYO,FOREX,EURCAD,TP5,Y,N,N,N,Y
TOKYO,FOREX,EURGBP,TP5,Y,N,N,N,N
TOKYO,FOREX,EURJPY,TP2,N,N,N,Y,N
TOKYO,FOREX,EURJPY,TP4,N,Y,Y,N,N
TOKYO,FOREX,EURNZD,TP1,N,N,Y,N,N
TOKYO,FOREX,EURNZD,TP2,Y,N,N,N,N
TOKYO,FOREX,EURNZD,TP4,N,N,N,N,Y
TOKYO,FOREX,EURUSD,TP2,N,N,N,N,Y
TOKYO,FOREX,EURUSD,TP5,Y,Y,N,N,N
TOKYO,FOREX,GBPAUD,TP2,N,N,Y,N,N
TOKYO,FOREX,GBPCAD,TP4,Y,N,N,N,N
TOKYO,FOREX,GBPCAD,TP5,N,N,Y,N,Y
TOKYO,FOREX,GBPCHF,TP3,N,N,N,Y,N
TOKYO,FOREX,GBPCHF,TP5,N,Y,N,N,N
TOKYO,FOREX,GBPJPY,TP5,N,N,N,Y,Y
TOKYO,FOREX,GBPNZD,TP2,N,Y,N,N,N
TOKYO,FOREX,GBPNZD,TP3,N,N,N,N,Y
TOKYO,FOREX,GBPNZD,TP4,N,N,Y,N,N
TOKYO,FOREX,GBPNZD,TP5,N,N,N,Y,N
TOKYO,FOREX,GBPUSD,TP1,N,N,N,N,Y
TOKYO,FOREX,GBPUSD,TP4,N,N,N,Y,N
TOKYO,FOREX,GBPUSD,TP5,N,Y,N,N,N
TOKYO,INDEX,JPN225,TP5,Y,Y,N,Y,N
TOKYO,INDEX,NAS100,TP4,N,N,Y,N,Y
TOKYO,INDEX,NAS100,TP5,Y,Y,N,Y,N
TOKYO,FOREX,NZDCAD,TP1,N,N,N,N,Y
TOKYO,FOREX,NZDCAD,TP2,N,Y,N,N,N
TOKYO,FOREX,NZDCAD,TP3,N,N,Y,N,N
TOKYO,FOREX,NZDCAD,TP4,N,N,N,Y,N
TOKYO,FOREX,NZDCHF,TP2,N,N,N,Y,N
TOKYO,FOREX,NZDCHF,TP3,N,Y,N,N,N
TOKYO,FOREX,NZDCHF,TP5,N,N,Y,N,N
TOKYO,FOREX,NZDJPY,TP2,N,Y,N,N,N
TOKYO,FOREX,NZDJPY,TP5,N,N,N,N,Y
TOKYO,FOREX,NZDUSD,TP4,N,Y,N,N,Y
TOKYO,FOREX,NZDUSD,TP5,N,N,N,Y,N
TOKYO,FOREX,SP500,TP1,Y,N,N,N,N
TOKYO,FOREX,SP500,TP3,N,Y,N,N,N
TOKYO,FOREX,SP500,TP5,N,N,N,N,Y
TOKYO,INDEX,UK100,TP1,N,N,N,N,Y
TOKYO,INDEX,US30,TP1,N,Y,N,N,N
TOKYO,INDEX,US30,TP2,N,N,N,N,Y
TOKYO,INDEX,US30,TP4,Y,N,N,N,N
TOKYO,FOREX,USDCAD,TP1,N,N,N,Y,N
TOKYO,FOREX,USDCHF,TP2,N,N,Y,N,N
TOKYO,FOREX,USDCHF,TP3,N,N,N,N,Y
TOKYO,FOREX,USDCHF,TP5,N,Y,N,Y,N
TOKYO,FOREX,USDJPY,TP1,Y,N,N,N,N
TOKYO,FOREX,USDJPY,TP2,N,N,N,Y,N
TOKYO,FOREX,USDJPY,TP3,N,Y,Y,N,N
TOKYO,FOREX,USDJPY,TP5,N,N,N,N,Y
TOKYO,METAL,XAGUSD,TP2,N,N,N,Y,N
TOKYO,METAL,XAUUSD,TP2,N,N,Y,N,N
TOKYO,METAL,XAUUSD,TP3,N,N,N,Y,N
TOKYO,METAL,XAUUSD,TP4,Y,N,N,N,N
TOKYO,METAL,XAUUSD,TP5,N,N,N,N,Y
TOKYO,FOREX,XBRUSD,TP1,N,N,Y,N,N
TOKYO,FOREX,XBRUSD,TP3,Y,N,N,N,N
TOKYO,FOREX,XBRUSD,TP5,N,Y,N,N,N
TOKYO,FOREX,XTIUSD,TP3,Y,N,N,N,N
TOKYO,FOREX,XTIUSD,TP5,N,Y,N,N,Y
